,x,y,z
0,-25.738686,-29.987534,8.251467
1,-26.831602,-29.77826,8.91632
2,-27.49149,-29.446259,8.806051
3,-26.127043,-29.659739,8.507035
4,-26.237988,-30.048822,8.004595
5,-26.119616,-29.487524,7.483714
6,-25.143053,-28.66528,7.3079147
7,-24.514906,-28.248556,7.174952
8,-24.413645,-27.628475,6.6905484
9,-24.56202,-27.368687,6.176598
10,-23.966112,-26.582735,6.431975
11,-24.217176,-26.20384,6.68373
12,-21.807043,-26.850935,6.302393
13,-21.597948,-26.770618,6.800507
14,-20.287954,-24.095207,5.523354
15,-17.546381,-20.6872,5.6887846
16,-15.400307,-18.993465,4.347609
17,-16.206867,-15.652027,4.446464
18,-12.680205,-10.679236,2.5371954
19,-12.075151,-8.806867,2.7204423
20,-10.993454,-6.911987,3.0395749
21,-11.415395,-5.0396414,1.9318538
22,-11.2378235,-3.2511864,1.7979747
23,-10.187761,-2.52538,1.1271149
24,-8.167204,-1.6296988,-0.9778337
25,-6.9968605,-1.7088097,-0.802462
26,-6.6511827,-1.6178857,-0.4358322
27,-6.3275247,-2.0004914,-1.3217344
28,-5.1695065,-2.3888838,-1.955357
29,-5.255068,-2.0303323,-2.9193656
30,-4.5876966,-1.538143,-4.4805927
31,-4.5053186,-1.2213544,-4.47316
32,-4.181404,-0.99205023,-4.7529006
33,-3.8141837,-0.4175397,-3.8083427
34,-3.6356087,-0.32052627,-5.602895
35,-3.0638566,0.081678495,-5.7138867
36,-2.7730246,0.71497416,-6.1418915
37,-2.9239573,0.3951763,-6.4322844
38,-3.0928905,0.16784795,-6.731014
39,-3.5606124,-0.1122752,-6.9119077
40,-3.3083003,-0.79968977,-6.7502084
41,-3.093232,-0.7112647,-6.689658
42,-3.0606222,-1.1806971,-6.5367007
43,-3.7851343,-1.222613,-5.928021
44,-3.3942306,-1.4234015,-5.5719337
45,-3.6937568,-1.308998,-5.1798215
46,-3.3460813,-2.487565,-4.9551983
47,-3.2645202,-2.6079118,-4.6093297
48,-3.1743193,-2.1065679,-4.757742
49,-3.3581686,-2.2706022,-4.601721
50,-3.5293489,-2.1400023,-4.8800654
51,-3.7142591,-1.9522513,-4.8563743
52,-3.7913725,-0.41004932,-5.3021
53,-4.082784,-0.2775143,-5.1162024
54,-4.3085427,0.03437993,-5.184389
55,-4.221456,-0.001763129,-4.99937
56,-4.324974,1.0345979,-3.8633354
57,-4.8823895,1.1874576,-3.0239286
58,-4.773376,1.8775699,-2.1359663
59,-5.16093,2.0719492,-1.9162264
60,-6.2157874,1.6958927,-1.3056353
61,-6.0858026,1.9131715,-0.8648433
62,-5.8324466,1.4802499,-1.2690829
63,-5.7495475,1.4657825,-1.0669388
64,-5.5392394,1.342064,-1.360773
65,-5.1841087,1.6706837,-1.4346863
66,-5.188416,1.4248505,-1.474365
67,-5.01325,1.6543194,-1.5479841
68,-5.646193,1.8491027,-1.6660103
69,-5.6973343,1.9926169,-1.7301189
70,-5.7900567,1.8159024,-1.9775103
71,-5.592302,2.1673048,-1.8870171
72,-5.2739763,2.2355752,-2.0306172
73,-6.003509,2.4777813,-1.7902391
74,-6.143365,2.4898224,-1.940402
75,-5.3718495,2.4945922,-2.3031015
76,-5.658522,2.4852388,-1.9523518
77,-5.878093,2.1873574,-2.1947043
78,-6.112679,1.4611686,-1.7546132
79,-6.403598,1.270468,-1.6413963
80,-6.103758,0.9246386,-1.7300184
81,-6.1615286,0.7058717,-1.7562219
82,-6.0557427,0.7396405,-1.7344027
83,-6.144489,0.8799429,-1.2514162
84,-5.7007008,1.0835296,-1.2494738
85,-5.703024,2.0402536,-1.0206599
86,-5.8529506,3.3668017,-1.1922501
87,-7.117532,7.533159,-1.2655661
88,-6.5503216,17.661493,-1.1882108
89,-6.5980954,23.248241,-2.8092952
90,-5.3649173,31.99009,-2.6123824
91,-5.931643,36.45544,-2.3734896
92,-4.214293,42.998974,-2.7658532
93,-4.213739,49.65739,-4.65863
94,-4.7212806,46.0717,-4.0934706
95,-4.2859654,37.591537,-3.9452055
96,-4.57665,32.706642,-5.424062
97,-3.1071715,29.458885,-3.581935
98,-3.081689,24.686216,-3.682102
99,-3.014321,21.345976,-3.7073686
100,-2.341249,16.70666,-3.962528
101,-2.3703942,16.85309,-4.0785108
102,-2.9462714,18.774601,-5.009997
103,-3.6354551,22.345278,-6.273973
104,-4.4354386,33.578285,-8.299796
105,-6.2033525,36.681343,-11.177426
106,-7.1969337,39.928192,-11.306328
107,-6.83153,43.837685,-11.468419
108,-6.009453,46.740612,-11.802325
109,-6.1963496,45.384575,-12.140866
110,-6.8044114,40.34139,-10.600362
111,-7.127585,36.086777,-8.927845
112,-5.2593145,30.713593,-6.57718
113,-5.322654,24.69631,-6.2143984
114,-5.2829328,18.787992,-6.420429
115,-4.759297,15.817911,-5.7668343
116,-4.6709394,6.5623326,-5.0242314
117,-4.364194,3.222493,-5.166803
118,-3.3144035,0.38495526,-5.7597938
119,-3.4633899,-0.7045965,-5.8553715
120,-3.6567569,-1.1369948,-5.985689
121,-4.1530643,-1.1445655,-6.101096
122,-3.6371095,-1.232634,-5.701861
123,-4.0389094,-1.4512748,-5.722415
124,-4.491261,-0.7902498,-5.3985596
125,-4.213184,-0.46751317,-5.1050572
126,-3.7145534,0.74372727,-4.2597895
127,-4.6797156,1.5978675,-3.9514415
128,-4.6301837,2.0289292,-3.8953578
129,-5.104219,1.7877587,-3.4544466
130,-5.3822513,1.6662126,-3.5063236
131,-5.222372,1.4340756,-3.221327
132,-4.511152,1.492735,-3.2193205
133,-4.7026153,1.441771,-3.1170745
134,-4.508989,1.7039732,-3.1023822
135,-4.9225626,1.9144374,-3.4929206
136,-4.7627025,1.7101676,-3.958857
137,-5.0623856,2.2860708,-4.1117897
138,-4.985133,2.3870711,-4.060464
139,-4.5760384,2.6097035,-3.926163
140,-5.15482,2.7744823,-3.860929
141,-4.9270587,2.831802,-3.9294758
142,-5.3169613,3.2994995,-3.8050404
143,-5.020771,3.47061,-3.8108375
144,-5.078111,3.900638,-3.724683
145,-5.349185,4.175068,-3.6860754
146,-5.4751887,4.0191846,-3.9611804
147,-5.666711,3.940138,-3.7028341
148,-5.5038204,4.9079013,-3.959756
